Product_name,Review,Rating,Cleaned_Review
"HP Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) 15s-dy3501TU Thin and Light Laptop  (15.6 inch, Natural Silver, 1.75 kg, With MS Office)","This laptop has major scree issueviewing angle is very badI'm not going to enjoy multimedia in this pc.This os irritating.If you tilt your screen then you will see only black and white colours.Everyone told me about hp is a brand that provides better service , build Quality, coustomer satisfaction, Display and also battery.I will never think about that hp laptop comes with wrost screen experience.**For those Costomer who will read my review:-One thing that i have noticed about Hp....",4,laptop major scree issueviewing angle badim going enjoy multimedia pcthis o irritatingif tilt screen see black white colourseveryone told hp brand provides better service build quality coustomer satisfaction display also batteryi never think hp laptop come wrost screen experiencefor costomer read reviewone thing noticed hp
"HP Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) 15s-dy3501TU Thin and Light Laptop  (15.6 inch, Natural Silver, 1.75 kg, With MS Office)","It is a very good laptop, Starting speed is very fast, it starts in 2 to 3 seconds only. Everything is nice with this laptop must buy. Intel UHD graphics support is very good in this.",5,good laptop starting speed fast start 2 3 second everything nice laptop must buy intel uhd graphic support good
"HP Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) 15s-dy3501TU Thin and Light Laptop  (15.6 inch, Natural Silver, 1.75 kg, With MS Office)",Nice product light weight. everything is okay.,4,nice product light weight everything okay
"HP Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) 15s-dy3501TU Thin and Light Laptop  (15.6 inch, Natural Silver, 1.75 kg, With MS Office)",Everything is Good Must Buy,5,everything good must buy
"HP Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) 15s-dy3501TU Thin and Light Laptop  (15.6 inch, Natural Silver, 1.75 kg, With MS Office)",Nice Product,4,nice product
"HP Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) 15s-dy3501TU Thin and Light Laptop  (15.6 inch, Natural Silver, 1.75 kg, With MS Office)",nice product everything is okay but battery power worst.otherwise no backlight.am not satisfied .i disappointed 😞 for Flipkart.,3,nice product everything okay battery power worstotherwise backlightam satisfied disappointed flipkart
"HP Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) 15s-dy3501TU Thin and Light Laptop  (15.6 inch, Natural Silver, 1.75 kg, With MS Office)","Display so bad quality and wifi connectivity ia also poor, camera vry poor. Not UP to the mark.",1,display bad quality wifi connectivity ia also poor camera vry poor mark
"HP Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) 15s-dy3501TU Thin and Light Laptop  (15.6 inch, Natural Silver, 1.75 kg, With MS Office)",Very Good pc in this price with HP Brand,5,good pc price hp brand
"HP Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) 15s-dy3501TU Thin and Light Laptop  (15.6 inch, Natural Silver, 1.75 kg, With MS Office)",Excellent 🤩🤩🤩,5,excellent
"HP Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) 15s-dy3501TU Thin and Light Laptop  (15.6 inch, Natural Silver, 1.75 kg, With MS Office)",Awesome Laptop 🤩,5,awesome laptop
"ASUS VivoBook 15 (2021) Core i3 11th Gen - (4 GB/256 GB SSD/Windows 10 Home) X515EA-EJ302TS Thin and Light Laptop  (15.6 inch, Transparent Silver, 1.80 kg, With MS Office)",It's awesome for multipurpose computer very smoothly to use & worked performance is superb i like it 😋😍😇,5,awesome multipurpose computer smoothly use worked performance superb like
"ASUS VivoBook 15 (2021) Core i3 11th Gen - (4 GB/256 GB SSD/Windows 10 Home) X515EA-EJ302TS Thin and Light Laptop  (15.6 inch, Transparent Silver, 1.80 kg, With MS Office)","First impressions are awesome ! Will update the review after some usage !Edit : Review update after a week.Well laptop is blazingly fast ! i3 11th processor rocks. SSD also makes it quick. Webcam is not that bad. I have seen worse. And I don't know why people are complaining about its display. I didn't find any problems with it so far. On the contrast, I actually liked the display. It is HD and is quite clear. Now about battery backup -So if you are using it without wifi. Then it will ...",5,first impression awesome update review usage edit review update weekwell laptop blazingly fast i3 11th processor rock ssd also make quick webcam bad seen worse dont know people complaining display didnt find problem far contrast actually liked display hd quite clear battery backup using without wifi
"ASUS VivoBook 15 (2021) Core i3 11th Gen - (4 GB/256 GB SSD/Windows 10 Home) X515EA-EJ302TS Thin and Light Laptop  (15.6 inch, Transparent Silver, 1.80 kg, With MS Office)",Best laptop in this segment...I like this product....but just camera is avarage quality...not so impressive.. overall I think it is a very good product in this price.,5,best laptop segmenti like productbut camera avarage qualitynot impressive overall think good product price
"ASUS VivoBook 15 (2021) Core i3 11th Gen - (4 GB/256 GB SSD/Windows 10 Home) X515EA-EJ302TS Thin and Light Laptop  (15.6 inch, Transparent Silver, 1.80 kg, With MS Office)",Value for money at this price range.1) fast fingerprint.2) camera very low quality.3) prosesor super fast.,5,value money price range1 fast fingerprint2 camera low quality3 prosesor super fast
"ASUS VivoBook 15 (2021) Core i3 11th Gen - (4 GB/256 GB SSD/Windows 10 Home) X515EA-EJ302TS Thin and Light Laptop  (15.6 inch, Transparent Silver, 1.80 kg, With MS Office)",Nice looking,3,nice looking
"ASUS VivoBook 15 (2021) Core i3 11th Gen - (4 GB/256 GB SSD/Windows 10 Home) X515EA-EJ302TS Thin and Light Laptop  (15.6 inch, Transparent Silver, 1.80 kg, With MS Office)","Best Laptop in this price from AsusVery fast processor Performance is goodBest for students, official work and Entertainment purposes.But camera quality is not good.Overall Nice Laptop.Thankyou Asus and Flipkart.",4,best laptop price asusvery fast processor performance goodbest student official work entertainment purposesbut camera quality goodoverall nice laptopthankyou asus flipkart
"ASUS VivoBook 15 (2021) Core i3 11th Gen - (4 GB/256 GB SSD/Windows 10 Home) X515EA-EJ302TS Thin and Light Laptop  (15.6 inch, Transparent Silver, 1.80 kg, With MS Office)",Firstly the price of this laptop is quite impressive and the functions.SSDIn this range with this generation the processor is quite fast and in comparison with hdd SSD always gets an upper thumb as it makes your pc/notebook fast.BatteryIt is not as par with HP as they have 3 cell and in Asus they are 2 cell so here in the case of battery it lacks behindCamera: Really not good at all it seems like VGA camera,5,firstly price laptop quite impressive functionsssdin range generation processor quite fast comparison hdd ssd always get upper thumb make pcnotebook fastbatteryit par hp 3 cell asus 2 cell case battery lack behindcamera really good seems like vga camera
"ASUS VivoBook 15 (2021) Core i3 11th Gen - (4 GB/256 GB SSD/Windows 10 Home) X515EA-EJ302TS Thin and Light Laptop  (15.6 inch, Transparent Silver, 1.80 kg, With MS Office)","Read this if you're going to buy any laptopMy advice is please not to look brand in buying laptops .The laptops with same specs of brands hp,full,aver,lenovo,asus etc are same To get to for minimum cost try asusDont feel asus is not as good as hp or dellFor this laptopPros- ●high speed boot up(faster than mac pro)● intel i3 good performance if your use is home,student,and coding●extra slot for ram.if you add 8 gb ram(you can get for just 2500 in flipkart and can add it yourself)You ...",4,read youre going buy laptopmy advice please look brand buying laptop laptop spec brand hpfullaverlenovoasus etc get minimum cost try asusdont feel asus good hp dellfor laptoppros ●high speed boot upfaster mac pro● intel i3 good performance use homestudentand coding●extra slot ramif add 8 gb ramyou get 2500 flipkart add yourselfyou
"ASUS VivoBook 15 (2021) Core i3 11th Gen - (4 GB/256 GB SSD/Windows 10 Home) X515EA-EJ302TS Thin and Light Laptop  (15.6 inch, Transparent Silver, 1.80 kg, With MS Office)",Best laptop under 35k just go for it I have got in 33k on sale Pro : i3 11th gen under 35 k  * Display quality is good but view angle is not so good but it's okay for me * Speaker sound is better* It's booting Time is fastKeyboard quality is goodDesign is awesomeAnd the best part is that it comes with extra slot fully confirmed by me and  asus care  you can expand upto 12gb ram there is  4gb onboard ram and extra slot you can put 8 gb there and you can upgrade hdd upto 1tb Built quali...,4,best laptop 35k go got 33k sale pro i3 11th gen 35 k display quality good view angle good okay speaker sound better booting time fastkeyboard quality gooddesign awesomeand best part come extra slot fully confirmed asus care expand upto 12gb ram 4gb onboard ram extra slot put 8 gb upgrade hdd upto 1tb built quali
"ASUS VivoBook 15 (2021) Core i3 11th Gen - (4 GB/256 GB SSD/Windows 10 Home) X515EA-EJ302TS Thin and Light Laptop  (15.6 inch, Transparent Silver, 1.80 kg, With MS Office)",Im statisfied .. valueble money,5,im statisfied valueble money
"RedmiBook 15 e-Learning Edition Core i3 11th Gen - (8 GB/256 GB SSD/Windows 10 Home) Thin and Light Laptop  (15.6 inch, Charcoal Gray, 1.8 kg, With MS Office)",Satisfied with laptop. Performance is good. Problems came like Flickering screen and search options not worked when upgraded to windows 11 so I reverted back to 10. So better don't upgrade to windows 11 now wait for some more days.,4,satisfied laptop performance good problem came like flickering screen search option worked upgraded window 11 reverted back 10 better dont upgrade window 11 wait day
"RedmiBook 15 e-Learning Edition Core i3 11th Gen - (8 GB/256 GB SSD/Windows 10 Home) Thin and Light Laptop  (15.6 inch, Charcoal Gray, 1.8 kg, With MS Office)",Thanks flipkart for the wonderful deal. Fully satisfied as of now right from timely delivery and performance.,5,thanks flipkart wonderful deal fully satisfied right timely delivery performance
"RedmiBook 15 e-Learning Edition Core i3 11th Gen - (8 GB/256 GB SSD/Windows 10 Home) Thin and Light Laptop  (15.6 inch, Charcoal Gray, 1.8 kg, With MS Office)","Performance: Today is first day so as per performance level no issue. I am using 10-15 tab in google chrome daily basis. Battery: As per company claim 10 hours. This is only for light users. If you use movie & music then may be. Design: decent design. Display: As per price range best display. Value for money: Yes this is value for money. Today this price 39,990 but it was 37,990 while ordered this one. But i got offer in Rs. 32,490 in sale time. I will submit after some days with proper ...",5,performance today first day per performance level issue using 1015 tab google chrome daily basis battery per company claim 10 hour light user use movie music may design decent design display per price range best display value money yes value money today price 39990 37990 ordered one got offer r 32490 sale time submit day proper
"RedmiBook 15 e-Learning Edition Core i3 11th Gen - (8 GB/256 GB SSD/Windows 10 Home) Thin and Light Laptop  (15.6 inch, Charcoal Gray, 1.8 kg, With MS Office)",Everything is better than other laptops of this range of price but there is only one thing is missing which the Numericals Pad. Overall performance is good. Good for using software like AutoCAD.,4,everything better laptop range price one thing missing numericals pad overall performance good good using software like autocad
"RedmiBook 15 e-Learning Edition Core i3 11th Gen - (8 GB/256 GB SSD/Windows 10 Home) Thin and Light Laptop  (15.6 inch, Charcoal Gray, 1.8 kg, With MS Office)",Best part is design and build quality. Battery backup is superb only one problem is display is not good very bad viewing angles.,5,best part design build quality battery backup superb one problem display good bad viewing angle
"RedmiBook 15 e-Learning Edition Core i3 11th Gen - (8 GB/256 GB SSD/Windows 10 Home) Thin and Light Laptop  (15.6 inch, Charcoal Gray, 1.8 kg, With MS Office)",Awesome.,4,awesome
"RedmiBook 15 e-Learning Edition Core i3 11th Gen - (8 GB/256 GB SSD/Windows 10 Home) Thin and Light Laptop  (15.6 inch, Charcoal Gray, 1.8 kg, With MS Office)",I wrote this review after the use of  45 days. I never saw a lack in this laptop and the sound quality is also good. Not heating I thought this price range recommend. Thanks for reading my review.,5,wrote review use 45 day never saw lack laptop sound quality also good heating thought price range recommend thanks reading review
"RedmiBook 15 e-Learning Edition Core i3 11th Gen - (8 GB/256 GB SSD/Windows 10 Home) Thin and Light Laptop  (15.6 inch, Charcoal Gray, 1.8 kg, With MS Office)",nyc laptop,4,nyc laptop
"RedmiBook 15 e-Learning Edition Core i3 11th Gen - (8 GB/256 GB SSD/Windows 10 Home) Thin and Light Laptop  (15.6 inch, Charcoal Gray, 1.8 kg, With MS Office)","Bought it for Trading Purpose.Except for the screen and sound quality, everything working fine, Updated to Window 11, no issues yet. Handles all the task easily. 11th gen processor 🔥",3,bought trading purposeexcept screen sound quality everything working fine updated window 11 issue yet handle task easily 11th gen processor
"RedmiBook 15 e-Learning Edition Core i3 11th Gen - (8 GB/256 GB SSD/Windows 10 Home) Thin and Light Laptop  (15.6 inch, Charcoal Gray, 1.8 kg, With MS Office)",Overall good 👍,4,overall good
"ASUS Core i3 11th Gen - (8 GB/256 GB SSD/Windows 11 Home) X515EA-EJ312WS Thin and Light Laptop  (15.6 inch, Transparent Silver, 1.80 kg, With MS Office)",Good product,5,good product
"ASUS Core i3 11th Gen - (8 GB/256 GB SSD/Windows 11 Home) X515EA-EJ312WS Thin and Light Laptop  (15.6 inch, Transparent Silver, 1.80 kg, With MS Office)",This price range it’s super…..,5,price range ’ super…
"ASUS Core i3 11th Gen - (8 GB/256 GB SSD/Windows 11 Home) X515EA-EJ312WS Thin and Light Laptop  (15.6 inch, Transparent Silver, 1.80 kg, With MS Office)",Very bad experience,1,bad experience
"DELL Inspiron Core i3 11th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 11 Home) Inspiron 3511 Thin and Light Laptop  (15.6 Inch, Carbon Black, 1.8 Kgs, With MS Office)",Laptop is amazing and sleek. Good for day-to-day use.SSD really helps in boosting the performance however do buy a laptop stand as it may heat up otherwise.Boots-up in around 30 secs. Windows 11 licensed is pre-installed. Works smoothly for not so heavy users.,5,laptop amazing sleek good daytoday usessd really help boosting performance however buy laptop stand may heat otherwisebootsup around 30 sec window 11 licensed preinstalled work smoothly heavy user
"DELL Inspiron Core i3 11th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 11 Home) Inspiron 3511 Thin and Light Laptop  (15.6 Inch, Carbon Black, 1.8 Kgs, With MS Office)",Nyce product,4,nyce product
"DELL Inspiron Core i3 11th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 11 Home) Inspiron 3511 Thin and Light Laptop  (15.6 Inch, Carbon Black, 1.8 Kgs, With MS Office)",Excellent,5,excellent
"DELL Inspiron Core i3 11th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 11 Home) Inspiron 3511 Thin and Light Laptop  (15.6 Inch, Carbon Black, 1.8 Kgs, With MS Office)",Nice one,4,nice one
"DELL Inspiron Core i3 11th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 11 Home) Inspiron 3511 Thin and Light Laptop  (15.6 Inch, Carbon Black, 1.8 Kgs, With MS Office)",Good  performing laptopBut less port option Doesn't have rj45 and type c portAnd display isn't bright enough,3,good performing laptopbut less port option doesnt rj45 type c portand display isnt bright enough
"DELL Inspiron Core i3 11th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 11 Home) Inspiron 3511 Thin and Light Laptop  (15.6 Inch, Carbon Black, 1.8 Kgs, With MS Office)",Awesome.I edited my review after 10 days of using.Performance DisplayBatterySsdHdd....... everything is mind blowing...,5,awesomei edited review 10 day usingperformance displaybatteryssdhdd everything mind blowing
"DELL Inspiron Core i3 11th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 11 Home) Inspiron 3511 Thin and Light Laptop  (15.6 Inch, Carbon Black, 1.8 Kgs, With MS Office)",Nice product,5,nice product
"DELL Inspiron Core i3 11th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 11 Home) Inspiron 3511 Thin and Light Laptop  (15.6 Inch, Carbon Black, 1.8 Kgs, With MS Office)",Laptop display is perfect & fastly moved in precess but late for deliver.Best budget laptop for coding dell Inspiron 3511 256sdd/1TB hdd:-42490/-Value for Money 💰.Battery is normal 4to5 hrs.,5,laptop display perfect fastly moved precess late deliverbest budget laptop coding dell inspiron 3511 256sdd1tb hdd42490value money battery normal 4to5 hr
"DELL Inspiron Core i3 11th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 11 Home) Inspiron 3511 Thin and Light Laptop  (15.6 Inch, Carbon Black, 1.8 Kgs, With MS Office)",Better option,4,better option
"DELL Inspiron Core i3 11th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 11 Home) Inspiron 3511 Thin and Light Laptop  (15.6 Inch, Carbon Black, 1.8 Kgs, With MS Office)",Brilliant Laptop 😍,5,brilliant laptop
"HP Ryzen 3 Dual Core 3250U - (8 GB/256 GB SSD/Windows 10 Home) 15s-GY0501AU Thin and Light Laptop  (15.6 inch, Natural Silver, 1.69 kg, With MS Office)",This is thing I want to be...It s worked suprb fast due to ssd Value for money really worth it,4,thing want beit worked suprb fast due ssd value money really worth
"HP Ryzen 3 Dual Core 3250U - (8 GB/256 GB SSD/Windows 10 Home) 15s-GY0501AU Thin and Light Laptop  (15.6 inch, Natural Silver, 1.69 kg, With MS Office)","I writing review for this product after same day used. It's really good laptop for all purposes.. attractive design, good performance etc..On time delivery.. thank you flipkart..😊😊",5,writing review product day used really good laptop purpose attractive design good performance etcon time delivery thank flipkart
"HP Ryzen 3 Dual Core 3250U - (8 GB/256 GB SSD/Windows 10 Home) 15s-GY0501AU Thin and Light Laptop  (15.6 inch, Natural Silver, 1.69 kg, With MS Office)","Good experience...its better use for office, home and good gaming experience... Go for it",4,good experienceits better use office home good gaming experience go
"HP Ryzen 3 Dual Core 3250U - (8 GB/256 GB SSD/Windows 10 Home) 15s-GY0501AU Thin and Light Laptop  (15.6 inch, Natural Silver, 1.69 kg, With MS Office)",It's a very good choice in this price range .nice display .and light weight . It also contain ms office lifetime free version .best choice for students and office works .ryzen3 perfomes well and with 256 SSD boots faster .I really like the product,5,good choice price range nice display light weight also contain m office lifetime free version best choice student office work ryzen3 perfomes well 256 ssd boot faster really like product
